Name,City
Association sportive Audincourtoise Badminton,Audincourt
Association Sportive Avant Garde Badminton,Champigné
Association Sportive Avrillaise - Badminton,Avrillé
Association Sportive Avrillé,Avrillé
Association Sportive Bad Boisseuil,Boisseuil
Association Sportive Badminton Bouzy,Bouzy
Association Sportive Badminton Divion,Divion
Association Sportive Badminton Golbey,Golbey
Association Sportive Badminton Longuyon,Longuyon
Association Sportive Badminton Top Team-Le Havre,Le Havre
Association Sportive Cordemaisienne-Badminton,Cordemais
Association Sportive de Badminton de Villabé,Villabé
Association Sportive de Courtisols,Courtisols
Association Sportive de Flavigny,Flavigny-sur-Moselle
Association Sportive de Guerigny Urzy-Badminton,Guérigny
Association Sportive de Magenta,Noumea
Association Sportive de Marcy et Charbonnières,Charbonnières-les-Bains
Association Sportive de Plaine,Plaine
Association Sportive de Saint Branchs,Saint-Branchs
Association Sportive de Villefontaine Badminton,Villefontaine
Association Sportive des Alain Savary,Saint-Mathieu-de-Tréviers
Association Sportive D'hery,Héry
Association Sportive du Badminton Brantômais,Brantôme
Association Sportive du Volant Roquefortois,Roquefort-les-Pins
ASSOCIATION SPORTIVE DU VOLANT SOUDIACAIS,Saint-Yzan-de-Soudiac
Association Sportive Epronnaise,Épron
Association Sportive et Culturelle de Ladon,Ladon
Association Sportive et Culturelle de Montmain,Montmain
Association Sportive Etaploise de Badminton,Étaples
Association Sportive Lilly,Fegersheim
association sportive lunairienne,Saint-Lunaire
Association Sportive Mantaise,Mantes-la-Jolie
Association Sportive Meudonnaise,Meudon
Association Sportive Nandeenne,Nandy
Association Sportive Nanteuil Badminton,Nanteuil-lès-Meaux
Association Sportive Narrossaise - Badminton,Narrosse
Association Sportive Puiseaux Badminton,Puiseaux
Association Sportive Romillé,Romillé
Association Sportive Roquentine de Badminton,Laroque-Timbaut
Association Sportive Septeme et Oytier St Oblas,Septème
Association Sportive Thurialaise,Saint-Thurial
Association Sportive Tierce,Tiercé
Association Sportive Too Bad,Paris
Association Sportive Ugine Badminton,Ugine
Association Sportive Villeneuve Badminton,Villeneuve-lès-Maguelone
Association Sports et Détente de Beaurains,Beaurains
Association Sports et Loisirs Intercommunale RUOMS,Ruoms
Association Squash et Badminton de Chartres,Chartres
Association Varenne et Scie Badminton,Longueville-sur-Scie
Association Volant Libre Salisien,Salies-de-Béarn
Assoss' Badminton Club,Coulonges-sur-l'Autize
Ast Badminton,Châteauneuf-en-Thymerais
Athlé 46 Badminton Souillac,Souillac
Athlétic Club Boulogne Billancourt,Boulogne-Billancourt
Athletic Club De Bobigny,Bobigny
Atousports Badminton Romainvillois,Romainville
Atout Volant Lannion,Lannion
ATSCAF-Ecole Nat. Des Finances Publiques,Clermont-Ferrand
Attane Badminton Club,Saint-Yrieix-la-Perche
Au Grez du Bad,Grez-Neuville
Auber'Bad,Aubervilliers
Aubergenville Badminton Club,Aubergenville
Audruicq Badminton Club,Audruicq
Aulnat Badminton Club Détente,Aulnat
Aurillac Badminton Club,Aurillac
Auriol Badminton Club,Auriol
Auterive Badminton Club,Auterive
Avant Garde Cossé le Vivien,Cossé-le-Vivien
Avant Garde Sportive des Essarts le Roi,Les Essarts-le-Roi
Avant Garde Tresboeuf,Tresboeuf
AVANTi Badminton 13,Paris
Avenir Amboise Badminton,Amboise
Avenir Fonsorbais Badminton,Fonsorbes
