fedid,name,ligue,zip,city,outdoor,indoor,countPlayers,countPlayers1AN,countTeams,countTeams1AN,school
01680265,TENNIS CLUB DIDENHEIM,HAUT RHIN,68350,DIDENHEIM,2,0,17,10,2,5,Oui
01680215,T.C. BALDERSHEIM,HAUT RHIN,68390,BALDERSHEIM,2,0,8,20,1,3,Oui
01680154,T.C. SAUSHEIM,HAUT RHIN,68390,SAUSHEIM,4,2,159,214,6,21,Oui
01680105,AS PTT MULHOUSE,HAUT RHIN,68400,RIEDISHEIM,5,3,101,184,3,16,Oui
01680091,T.C.HABSHEIM,HAUT RHIN,68440,HABSHEIM,2,1,92,103,2,6,Oui
01680099,T.C. THUR,HAUT RHIN,68470,WESSERLING,3,1,68,91,3,11,Oui
01680167,T.C. VIEUX FERRETTE,HAUT RHIN,68480,VIEUX FERRETTE,1,1,56,57,1,4,Oui
01680346,TENNIS CLUB DE BANTZENHEIM,HAUT RHIN,68490,BANTZENHEIM,2,0,94,93,0,3,Oui
01680140,TENNIS CLUB ISSENHEIM,HAUT RHIN,68500,ISSENHEIM,3,1,121,122,6,19,Oui
01680191,T.C. BURNHAUPT,HAUT RHIN,68520,BURNHAUPT LE HAUT,2,0,10,15,1,3,Oui
01680231,TENNIS CLUB BOLLWILLER/FELDKIRCH,HAUT RHIN,68540,BOLLWILLER,2,1,18,16,2,4,Oui
01680288,SAINT-HIPPOLYTE TENNIS CLUB,HAUT RHIN,68590,SAINT-HIPPOLYTE,2,0,8,28,1,6,Oui
01680045,ASC BIESHEIM,HAUT RHIN,68600,BIESHEIM,5,2,192,215,5,21,Oui
01680123,T.C. VOLGELSHEIM,HAUT RHIN,68600,VOLGELSHEIM,3,1,32,45,0,0,Oui
01680185,A.S.L. BENNWIHR,HAUT RHIN,68630,BENNWIHR,2,1,98,112,4,15,Oui
01680124,T.C DE WALDIGHOFFEN,HAUT RHIN,68640,WALDIGHOFFEN,2,1,18,0,0,0,Non
01680184,T.C. KEMBS,HAUT RHIN,68680,KEMBS,3,2,229,281,10,32,Oui
01680345,TENNIS CLUB D'ASPACH-LE-HAUT,HAUT RHIN,68700,ASPACH-LE-HAUT,2,0,0,12,0,1,Non
01680173,T.C. D'ILLFURTH,HAUT RHIN,68720,TAGOLSHEIM,2,1,122,136,7,14,Oui
01680274,TENNIS CLUB DE BLODELSHEIM,HAUT RHIN,68740,BLODELSHEIM,2,0,0,0,0,0,Non
01680241,STLC TENNIS CLUB DE BERGHEIM,HAUT RHIN,68750,BERGHEIM,2,1,89,89,5,13,Oui
01680275,TENNIS CLUB SENTHEIM,HAUT RHIN,68780,SENTHEIM,2,0,12,33,0,3,Oui
01680193,T.C. MORSCHWILLER LE BAS,HAUT RHIN,68790,MORSCHWILLER LE BAS,2,1,94,109,3,11,Oui
01680199,T C PULVERSHEIM,HAUT RHIN,68840,PULVERSHEIM,2,0,58,66,0,3,Oui
